Cmd #0    '+'	Ptr: 0    	Tape: [1]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #1    '+'	Ptr: 0    	Tape: [2]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #2    '+'	Ptr: 0    	Tape: [3]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #3    '+'	Ptr: 0    	Tape: [4]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #4    '+'	Ptr: 0    	Tape: [5]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #5    '+'	Ptr: 0    	Tape: [6]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #6    '+'	Ptr: 0    	Tape: [7]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #7    '+'	Ptr: 0    	Tape: [8]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #8    '+'	Ptr: 0    	Tape: [9]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #9    '+'	Ptr: 0    	Tape: [10]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #10   '['	Ptr: 0    	Tape: [10]   0   0   0	Output: 	Desc: Entra no loop se o valor da célula atual não for zero.
Cmd #11   '>'	Ptr: 1    	Tape: [0]   0   0   0	Output: 	Desc: Move o ponteiro para a direita.
Cmd #12   '+'	Ptr: 1    	Tape: [1]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #13   '+'	Ptr: 1    	Tape: [2]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #14   '+'	Ptr: 1    	Tape: [3]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #15   '+'	Ptr: 1    	Tape: [4]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #16   '+'	Ptr: 1    	Tape: [5]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #17   '+'	Ptr: 1    	Tape: [6]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #18   '+'	Ptr: 1    	Tape: [7]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #19   '>'	Ptr: 2    	Tape: [0]   0   0   0	Output: 	Desc: Move o ponteiro para a direita.
Cmd #20   '+'	Ptr: 2    	Tape: [1]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #21   '+'	Ptr: 2    	Tape: [2]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #22   '+'	Ptr: 2    	Tape: [3]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #23   '+'	Ptr: 2    	Tape: [4]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #24   '+'	Ptr: 2    	Tape: [5]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #25   '+'	Ptr: 2    	Tape: [6]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #26   '+'	Ptr: 2    	Tape: [7]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #27   '+'	Ptr: 2    	Tape: [8]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #28   '+'	Ptr: 2    	Tape: [9]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #29   '+'	Ptr: 2    	Tape: [10]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #30   '>'	Ptr: 3    	Tape:  10   7  10 [0]   0   0   0	Output: 	Desc: Move o ponteiro para a direita.
Cmd #31   '+'	Ptr: 3    	Tape:  10   7  10 [1]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #32   '+'	Ptr: 3    	Tape:  10   7  10 [2]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #33   '+'	Ptr: 3    	Tape:  10   7  10 [3]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #34   '>'	Ptr: 4    	Tape:   7  10   3 [0]   0   0   0	Output: 	Desc: Move o ponteiro para a direita.
Cmd #35   '+'	Ptr: 4    	Tape:   7  10   3 [1]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #36   '<'	Ptr: 3    	Tape:  10   7  10 [3]   1   0   0	Output: 	Desc: Move o ponteiro para a esquerda.
Cmd #37   '<'	Ptr: 2    	Tape: [10]   3   1   0	Output: 	Desc: Move o ponteiro para a esquerda.
Cmd #38   '<'	Ptr: 1    	Tape: [7]  10   3   1	Output: 	Desc: Move o ponteiro para a esquerda.
Cmd #39   '<'	Ptr: 0    	Tape: [10]   7  10   3	Output: 	Desc: Move o ponteiro para a esquerda.
Cmd #40   '-'	Ptr: 0    	Tape: [9]   7  10   3	Output: 	Desc: Decrementa o valor na célula atual.
Cmd #10   ']'	Ptr: 0    	Tape: [9]   7  10   3	Output: 	Desc: Volta para o início do loop se o valor da célula atual não for zero.
Cmd #10   '['	Ptr: 0    	Tape: [9]   7  10   3	Output: 	Desc: Entra no loop se o valor da célula atual não for zero.
Cmd #11   '>'	Ptr: 1    	Tape: [7]  10   3   1	Output: 	Desc: Move o ponteiro para a direita.
Cmd #12   '+'	Ptr: 1    	Tape: [8]  10   3   1	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #13   '+'	Ptr: 1    	Tape: [9]  10   3   1	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #14   '+'	Ptr: 1    	Tape: [10]  10   3   1	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #15   '+'	Ptr: 1    	Tape: [11]  10   3   1	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #16   '+'	Ptr: 1    	Tape: [12]  10   3   1	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #17   '+'	Ptr: 1    	Tape: [13]  10   3   1	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #18   '+'	Ptr: 1    	Tape: [14]  10   3   1	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #19   '>'	Ptr: 2    	Tape: [10]   3   1   0	Output: 	Desc: Move o ponteiro para a direita.
Cmd #20   '+'	Ptr: 2    	Tape: [11]   3   1   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #21   '+'	Ptr: 2    	Tape: [12]   3   1   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #22   '+'	Ptr: 2    	Tape: [13]   3   1   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #23   '+'	Ptr: 2    	Tape: [14]   3   1   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #24   '+'	Ptr: 2    	Tape: [15]   3   1   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #25   '+'	Ptr: 2    	Tape: [16]   3   1   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #26   '+'	Ptr: 2    	Tape: [17]   3   1   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #27   '+'	Ptr: 2    	Tape: [18]   3   1   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #28   '+'	Ptr: 2    	Tape: [19]   3   1   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #29   '+'	Ptr: 2    	Tape: [20]   3   1   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #30   '>'	Ptr: 3    	Tape:   9  14  20 [3]   1   0   0	Output: 	Desc: Move o ponteiro para a direita.
Cmd #31   '+'	Ptr: 3    	Tape:   9  14  20 [4]   1   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #32   '+'	Ptr: 3    	Tape:   9  14  20 [5]   1   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #33   '+'	Ptr: 3    	Tape:   9  14  20 [6]   1   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #34   '>'	Ptr: 4    	Tape:  14  20   6 [1]   0   0   0	Output: 	Desc: Move o ponteiro para a direita.
Cmd #35   '+'	Ptr: 4    	Tape:  14  20   6 [2]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #36   '<'	Ptr: 3    	Tape:   9  14  20 [6]   2   0   0	Output: 	Desc: Move o ponteiro para a esquerda.
Cmd #37   '<'	Ptr: 2    	Tape: [20]   6   2   0	Output: 	Desc: Move o ponteiro para a esquerda.
Cmd #38   '<'	Ptr: 1    	Tape: [14]  20   6   2	Output: 	Desc: Move o ponteiro para a esquerda.
Cmd #39   '<'	Ptr: 0    	Tape: [9]  14  20   6	Output: 	Desc: Move o ponteiro para a esquerda.
Cmd #40   '-'	Ptr: 0    	Tape: [8]  14  20   6	Output: 	Desc: Decrementa o valor na célula atual.
Cmd #10   ']'	Ptr: 0    	Tape: [8]  14  20   6	Output: 	Desc: Volta para o início do loop se o valor da célula atual não for zero.
Cmd #10   '['	Ptr: 0    	Tape: [8]  14  20   6	Output: 	Desc: Entra no loop se o valor da célula atual não for zero.
Cmd #11   '>'	Ptr: 1    	Tape: [14]  20   6   2	Output: 	Desc: Move o ponteiro para a direita.
Cmd #12   '+'	Ptr: 1    	Tape: [15]  20   6   2	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #13   '+'	Ptr: 1    	Tape: [16]  20   6   2	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #14   '+'	Ptr: 1    	Tape: [17]  20   6   2	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #15   '+'	Ptr: 1    	Tape: [18]  20   6   2	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #16   '+'	Ptr: 1    	Tape: [19]  20   6   2	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #17   '+'	Ptr: 1    	Tape: [20]  20   6   2	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #18   '+'	Ptr: 1    	Tape: [21]  20   6   2	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #19   '>'	Ptr: 2    	Tape: [20]   6   2   0	Output: 	Desc: Move o ponteiro para a direita.
Cmd #20   '+'	Ptr: 2    	Tape: [21]   6   2   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #21   '+'	Ptr: 2    	Tape: [22]   6   2   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #22   '+'	Ptr: 2    	Tape: [23]   6   2   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #23   '+'	Ptr: 2    	Tape: [24]   6   2   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #24   '+'	Ptr: 2    	Tape: [25]   6   2   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #25   '+'	Ptr: 2    	Tape: [26]   6   2   0	Output: 	Desc: Incrementa o valor na célula atual.
